@relation 'SEERA General informationCSV'

@attribute projID numeric
@attribute 'Contract Date' {05/2016,06/2008,06/2010,02/2016,12/2012,00/2016,07/2018,00/2018,08/2015,00/2001,03/2000,11/2016,05/2009,02/2010,01/2016,11/2014,03/2012,02/2014,12/2018,12/2015,00/2000,00/2008,3/2015,00/2011,01/2017,09/2009,10/2013,06/2006,04/2018,00/2004,09/2015,04/2019,00/2014,00/2009,05/2017,11/2015,08/2017,07/2017,04/2017,00/2012,08/2016,04/2014,00/2005,01/2009,00/2015,00/2017,05/2007,01/2010,12/2017,05/2013,05/2011,00/2006,06/2018,00/2013,11/2011,09/2018,01/2015,09/2014,00/2010,05/2004,02/2002,04/2004,01/2007,04/1997,09/2013,03/2019,08/2019,05/1994,12/1993,05/2001,06/2002,06/1998,02/2018,02/1997,02/2001,01/2019,10/2017,03/2018,00/1998,04/2016}
@attribute 'Contract software delivery date ' {05/2016,03/2009,01/2010,2/1/2018,05/2013,00/2016,12/2018,00/2018,10/2019,00/2005,09/2000,02/2017,8/2009,06/2010,06/2014,3/2019,00/2000,00/2009,00/2008,3/2017,00/2011,01/2019,04/2017,03/2010,09/2015,09/2006,11/2018,09/2016,11/2016,08/2019,00/2012,00/2014,00/2010,00/2001,11/2017,12/2016,08/2017,02/2019,05/2009,00/2017,10/2007,01/2011,03/2018,01/2012,00/2006,12/2014,01/2020,00/2013,02/2012,06/2018,09/2008,05/2015,01/2016,06/2019,10/2004,12/2002,09/2007,05/1998,04/2014,04/2019,07/2019,12/2019,12/1995,02/2002,12/1994,12/1997,12/2001,12/2017,03/2019,05/2018,00/1999,08/2016}
@attribute 'Actual software development start date' {00/2015,05/2016,09/2008,06/2009,02/2016,12/2012,00/2016,07/2018,00/2018,10/2015,00/2001,03/2000,04/2017,03/2010,03/2016,02/2015,06/2012,03/2014,01/2019,12/2015,00/2000,00/2009,00/2008,3/2015,00/2011,10/2009,11/2013,06/2006,06/2008,00/2004,11/2015,04/2019,00/2014,05/2017,08/2017,00/2012,00/2005,01/2009,00/2017,06/2007,01/2010,01/2018,05/2011,00/2006,01/2014,10/2018,00/2013,11/2011,07/2008,11/2014,00/2010,10/2019,05/2004,03/2002,01/2007,05/1997,02/2014,03/2019,12/2018,00/206,09/2005,07/1994,03/1997,07/2017,06/2019,11/2017,00/1998,01/2006}
@attribute 'Year of project (Main)' numeric
@attribute 'Organization id' {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,35,36,37,38,39,42,43,44,45}
@attribute 'Organization type' {1,2,3,4,5,6,7,8}
@attribute 'Role in organization' {1,2,3,4,6,7,8}
@attribute 'Size of organization' {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,N/A}
@attribute 'Size of IT department' {1,2,3,4,5,6,7,8,9,10,11,N/A}
@attribute 'Customer organization type' {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16}
@attribute 'Estimated duration' numeric
@attribute 'Actual duration' numeric
@attribute 'Contract price ' string
@attribute 'Actual incurred costs ' string
@attribute '\% project gain (loss) (Main)' {'0\%','-17\%','-25\%',N/A,'63\%','-102\%','17\%','25\%','20\%','-100\%','-4\%','4\%','6\%','-122\%','3\%','45\%','12\%','9\%','-1\%','41\%','-21\%','-13\%','43\%','8\%','50\%','-14\%','33\%','-22\%','-150\%'}
@attribute 'Development type' {1,2,3,4}
@attribute 'Application Domain' {1,2,3,5,6,7}

@data
1,?,?,00/2015,2015,1,1,1,16,7,13,2,3,?,?,?,1,7
2,05/2016,05/2016,05/2016,2016,25,5,1,2,1,2,2,3,?,?,?,1,3
3,06/2008,03/2009,09/2008,2008,2,5,3,2,2,3,3,5,40000,40000,'0\%',1,3
4,06/2010,01/2010,06/2009,2009,42,4,2,3,2,4,6,6,1500000,1750000,'-17\%',1,7
5,02/2016,2/1/2018,02/2016,2016,42,4,2,3,2,4,12,24,9000000000,10570000000,'-17\%',1,7
6,12/2012,05/2013,12/2012,2012,42,4,2,3,2,4,6,8,254000000,254000000,'0\%',4,7
7,00/2016,00/2016,00/2016,2016,42,4,1,3,1,4,6,9,154000000,154000000,'0\%',1,7
8,07/2018,12/2018,07/2018,2018,42,4,4,3,2,4,4,4,?,?,?,1,7
9,00/2018,00/2018,00/2018,2018,42,4,4,3,1,4,6,6,200000000,200000000,'0\%',1,3
10,08/2015,10/2019,10/2015,2015,3,5,2,1,1,14,12,45,480000,480000,'0\%',1,2
11,00/2001,00/2005,00/2001,2001,4,4,2,3,3,3,9,36,60000,75000,'-25\%',1,1
12,03/2000,09/2000,03/2000,2000,5,5,2,2,2,2,6,9,15000,15000,'0\%',1,5
13,11/2016,02/2017,04/2017,2016,6,5,2,1,1,5,2,4,47500,'Not exist',N/A,1,2
14,05/2009,8/2009,06/2009,2009,6,5,2,1,1,6,3,5,39000,'Not exist',N/A,1,2
15,02/2010,06/2010,03/2010,2010,6,5,2,1,1,7,3,4,20000,'Not exist',N/A,1,7
16,01/2016,05/2016,03/2016,2016,6,5,2,1,1,8,2.5,5,80000,'Not exist',N/A,1,2
17,11/2014,?,02/2015,2014,6,5,2,1,1,6,2,4,40000,'Not exist',N/A,2,2
18,03/2012,?,06/2012,2012,6,5,2,1,1,2,1,1.5,8000,'Not exist',N/A,3,5
19,02/2014,06/2014,03/2014,2014,6,5,2,1,1,9,4.5,9,198672,'Not exist',N/A,1,2
20,12/2018,3/2019,01/2019,2018,3,5,3,1,1,10,4,7,216000,80000,'63\%',1,2
21,12/2015,05/2016,12/2015,2015,7,5,2,5,6,4,6,9,1855000,3750000,'-102\%',4,2
22,00/2000,00/2000,00/2000,2000,8,5,2,3,2,3,4,6,16600000,16600000,'0\%',1,1
23,?,00/2009,00/2009,2009,9,2,1,16,2,13,3,5,?,?,?,1,6
24,00/2008,00/2008,00/2008,2008,8,5,2,4,2,3,4,4,?,?,?,1,1
25,3/2015,3/2017,3/2015,2015,10,5,2,4,2,10,12,25,600000,600000,'0\%',1,7
26,00/2011,00/2011,00/2011,2011,11,4,1,16,11,?,1,3,255000,212550,'17\%',4,2
27,12/2018,01/2019,01/2019,2018,3,5,2,1,1,11,3,3,100000,75000,'25\%',1,2
28,01/2017,04/2017,04/2017,2017,3,5,2,1,1,10,5,5,35000,35000,'0\%',3,2
29,09/2009,03/2010,10/2009,2009,3,5,1,1,1,10,5,24,7000,7000,'0\%',2,2
30,10/2013,09/2015,11/2013,2013,5,5,2,2,2,2,20,22,25000,20000,'20\%',1,5
31,06/2006,09/2006,06/2006,2006,5,5,2,2,2,2,3,7,6000,6000,'0\%',1,5
32,04/2018,11/2018,06/2008,2018,5,5,2,2,2,10,7,18,9000,18000,'-100\%',1,7
33,02/2016,09/2016,02/2016,2016,12,5,4,6,2,2,7,22,2500000,2500000,'0\%',4,2
34,00/2004,00/2005,00/2004,2004,8,5,1,4,2,14,4,12,?,?,?,1,5
